"食品群別","総数／平均値","総数／標準化比","総数／標準偏差","総数／標準誤差","1～6歳／平均値","1～6歳／標準偏差","1～6歳／標準誤差","7～14歳／平均値","7～14歳／標準偏差","7～14歳／標準誤差","15～19歳／平均値","15～19歳／標準偏差","15～19歳／標準誤差","20～29歳／平均値","20～29歳／標準偏差","20～29歳／標準誤差","30～39歳／平均値","30～39歳／標準偏差","30～39歳／標準誤差","40～49歳／平均値","40～49歳／標準偏差","40～49歳／標準誤差","50～59歳／平均値","50～59歳／標準偏差","50～59歳／標準誤差","60～69歳／平均値","60～69歳／標準偏差","60～69歳／標準誤差","70歳以上／平均値","70歳以上／標準偏差","70歳以上／標準誤差","(再掲)20歳以上／平均値","(再掲)20歳以上／標準偏差","(再掲)20歳以上／標準誤差"
"調査人数","433","","","","19","","","36","","","22","","","28","","","34","","","68","","","59","","","72","","","95","","","356","",""
"総量(g/日)","2210.8","109.4","740.7","35.6","1420.0","363.8","83.5","2003.8","641.5","106.9","2310.5","780.4","166.4","2073.5","708.9","134.0","2279.2","650.4","111.5","2300.2","743.5","90.2","2370.7","636.0","82.8","2383.5","866.5","102.1","2145.9","708.3","72.7","2267.7","736.6","39.0"
"動物性食品(g/日)","343.8","106.1","185.7","8.9","366.3","255.1","58.5","441.9","159.1","26.5","468.2","252.7","53.9","338.1","170.8","32.3","316.9","136.0","23.3","286.6","146.0","17.7","337.1","192.5","25.1","380.2","188.5","22.2","302.2","172.4","17.7","325.0","173.4","9.2"
"植物性食品(g/日)","1867.0","110.1","699.3","33.6","1053.7","337.7","77.5","1561.9","620.0","103.3","1842.4","675.2","143.9","1735.4","666.0","125.9","1962.2","679.8","116.6","2013.6","702.9","85.2","2033.6","619.6","80.7","2003.3","802.4","94.6","1843.7","624.5","64.1","1942.7","688.3","36.5"
"穀類(g/日)","396.2","90.8","176.4","8.5","253.2","126.8","29.1","386.8","143.1","23.9","470.8","207.6","44.3","417.6","196.6","37.2","399.1","178.5","30.6","427.2","157.9","19.1","423.0","209.7","27.3","370.3","161.8","19.1","384.4","168.3","17.3","400.1","176.1","9.3"
"米･加工品(g/日)","267.1","82.6","162.8","7.8","166.0","96.6","22.2","289.3","161.1","26.8","342.6","180.6","38.5","327.4","207.7","39.2","258.5","170.1","29.2","286.6","158.5","19.2","271.6","160.8","20.9","249.1","174.4","20.6","243.5","133.7","13.7","265.6","162.3","8.6"
"小麦･加工品(g/日)","115.1","109.5","105.9","5.1","81.0","87.5","20.1","93.2","78.5","13.1","128.2","111.8","23.8","88.5","100.0","18.9","129.0","123.7","21.2","125.5","107.0","13.0","119.1","113.4","14.8","106.2","101.9","12.0","126.9","108.7","11.1","118.3","108.6","5.8"
"いも類(g/日)","46.0","87.5","56.3","2.7","19.4","23.0","5.3","77.1","80.5","13.4","79.3","62.1","13.2","49.9","47.0","8.9","43.8","56.8","9.7","37.6","54.2","6.6","52.7","61.7","8.0","46.4","56.6","6.7","32.8","39.1","4.0","42.2","52.4","2.8"
"砂糖･甘味料類(g/日)","6.3","96.7","8.2","0.4","3.2","3.0","0.7","5.2","7.3","1.2","5.8","7.6","1.6","5.8","8.2","1.6","6.9","9.0","1.5","6.0","8.6","1.0","3.4","4.4","0.6","9.0","10.7","1.3","7.4","8.0","0.8","6.6","8.5","0.5"
"豆類(g/日)","57.1","95.4","84.4","4.1","35.1","31.6","7.3","34.0","35.0","5.8","23.7","36.8","7.8","80.7","125.1","23.6","31.2","43.4","7.4","58.4","108.1","13.1","72.0","96.1","12.5","57.3","82.0","9.7","70.1","78.8","8.1","62.7","90.7","4.8"
