"年齢","人","平均値(mg)","標準偏差(mg)","パーセンタイル／1(mg)","パーセンタイル／5(mg)","パーセンタイル／10(mg)","パーセンタイル／25(mg)","パーセンタイル／50(中央値)(mg)","パーセンタイル／75(mg)","パーセンタイル／90(mg)","パーセンタイル／95(mg)","パーセンタイル／99(mg)"
"男性総数","205","5.64","1.93","2","2.8","3.37","4.46","5.45","6.61","8.01","9.19","11.03"
"1～2歳","4","4.72","2.79","0.88","1.38","2.01","3.9","5.49","6.32","6.81","6.98","7.11"
"3～5歳","5","3.79","0.91","2.97","2.99","3.02","3.11","3.35","4.55","4.81","4.9","4.97"
"6～7歳","6","5.75","1.88","3.52","3.77","4.08","4.83","5.58","6.12","7.6","8.32","8.89"
"8～9歳","3","5.47","1.59","3.7","3.91","4.16","4.91","6.16","6.38","6.51","6.55","6.58"
"10～11歳","5","5.5","1.11","4.01","4.17","4.37","4.98","5.72","5.89","6.53","6.74","6.91"
"12～14歳","8","6.38","2.09","3.21","3.7","4.31","5.29","5.99","7.95","8.94","9.08","9.2"
"15～17歳","6","6.69","1.84","4.64","4.75","4.89","5.46","6.36","7.69","8.82","9.17","9.44"
"18～29歳","20","6.66","2.46","3.7","3.88","4.23","4.7","6.21","7.93","9.81","10.58","12.54"
"30～49歳","42","5.05","1.64","2.16","2.45","2.72","3.86","5.05","6.14","6.87","7.61","8.28"
"50～69歳","60","5.84","1.86","2.6","3.37","3.86","4.65","5.6","6.72","8.08","9.45","10.68"
"70歳以上","46","5.49","1.85","1.35","2.78","3.82","4.09","5.28","6.58","7.92","8.01","9.72"
"女性総数","228","5.23","1.78","1.61","2.61","2.96","4","5.2","6.43","7.36","8.07","9.96"
"1～2歳","3","4.82","0.67","4.07","4.16","4.28","4.62","5.2","5.21","5.21","5.21","5.21"
"3～5歳","2","5.39","0.82","4.82","4.86","4.92","5.1","5.39","5.68","5.85","5.91","5.95"
"6～7歳","6","4.24","1.19","3","3.14","3.31","3.71","3.91","4.42","5.5","5.96","6.33"
"8～9歳","4","5.36","1.51","3.25","3.54","3.9","4.97","5.84","6.23","6.44","6.51","6.57"
"10～11歳","1","7.11","0","7.11","7.11","7.11","7.11","7.11","7.11","7.11","7.11","7.11"
"12～14歳","8","5.59","1.4","4.31","4.38","4.47","4.59","4.78","6.86","7.49","7.57","7.63"
"15～17歳","7","5.16","1.48","3.39","3.52","3.69","4.09","5.21","5.84","6.8","7.23","7.58"
"18～29歳","17","5.34","2","2.7","2.74","3.09","4.14","5.43","5.63","7.84","9.62","9.75"
"30～49歳","60","5.09","1.61","2.02","2.77","3.07","4.03","5.02","5.82","7.22","8.17","9.13"
"50～69歳","71","5.53","1.75","1.27","2.71","3.05","4.35","5.62","6.91","7.41","7.85","8.9"
"70歳以上","49","4.97","2.14","0.96","2.31","2.63","3.58","4.96","6.7","7.43","8.09","10.05"
"(再掲)妊婦","1","7.22","0","7.22","7.22","7.22","7.22","7.22","7.22","7.22","7.22","7.22"
"授乳婦","1","4.78","0","4.78","4.78","4.78","4.78","4.78","4.78","4.78","4.78","4.78"
