"","１００万未満(%)","１００～２００万未満(%)","２００～３００万未満(%)","３００～４００万未満(%)","４００万以上(%)","無回答(%)","サンプル数","平均"
"TOTAL","5.4","5.0","8.3","12.1","6.4","62.9","2871","255.8"
"正規職員雇用のみ希望者","5.1","","19.8","29.3","18.6","26.2","526","307.3"
"パート・非常勤雇用のみ希望者","7.5","9.4","4.3","","","74.8","1246","154.9"
"正規職員またはパート・非常勤雇用希望者","6.3","6.3","16.5","22.2","7.4","41.5","176","259.2"
