"年度","企業数（社）","雇用率の基礎となる労働者数（人）","障害者雇用数（人）","障害者雇用数／身体障害者（人）","障害者雇用数／知的障害者（人）","障害者雇用数／精神障害者（人）","実雇用率（都）（％）","実雇用率（全国）（％）"
"22","15726","7786840","126903.5","105313.0","17507.0","4083.5","1.63","1.68"
"23","15798","8411528.0","135469.0","110079.0","20077.5","5312.5","1.61","1.65"
"24","16062","8544360.0","141453.5","112854.5","21913.5","6685.5","1.66","1.69"
"25","17626","8696239.5","149245.0","116167.0","24148.5","8929.5","1.72","1.76"
"26","17827","8907252.0","157884.5","119984.0","26803.0","11097.5","1.77","1.82"
