"","困窮層(％)","周辺層(％)","一般層(％)"
"行政機関の広報誌（***）","40.4","52.2","58.4"
"行政機関のホームページ（***）","13.2","18.3","23.3"
"SNS(X)","10.5","8.6","7.1"
"学校からのお便り（X）","82.8","84.7","88.0"
"学校からのメール（X）","32.0","37.0","36.4"
"家族や友人からの情報（***）","39.2","45.3","54.2"
"その他（X）","1.5","0.9","1.8"
