"","働いている(%)","働いていない(%)","無回答(%)"
"総数","44.9","54.4","0.7"
"30歳未満","26.5","72.0","1.6"
"30～39歳","40.2","59.1","0.7"
"40～49歳","58.5","41.1","0.5"
"50歳以上","65.2","34.8","0.0"
