"","平成14年(人)","平成15年(人)","平成16年(人)","平成17年(人)","平成18年(人)","平成19年(人)","平成20年(人)","平成21年(人)","平成22年(人)","平成23年(人)","平成24年(人)","平成25年(人)","平成26年(人)"
"","175600","176905","179026","179392","178850","177675","175952","172019","171273","171769","173642","172467","170673"
"全国(右目盛)","1769096","1760494","1753393","1738766","1726520","1705402","1674163","1630336","1605912","1596170","1604225","1583610","1557461"
"東京都(私立)(左目盛)","159842","161095","163004","163274","163110","162524","161207","157932","157414","157745","159379","158051","156249"
"東京都(国公立)(左目盛)","15758","15810","16022","16118","15740","15151","14745","14087","13859","14024","14263","14416","14424"
