"","大変満足(%)","満足(%)","やや満足(%)","どちらともいえない(%)","やや不満(%)","不満(%)","非常に不満(%)","無回答(%)","サンプル数","平均"
"TOTAL","3.4","7.4","6.8","11.5","8.8","8.8","10.7","42.6","8214","-0.5"
"正規職員","","5.6","5.5","10.7","9.0","9.8","14.0","42.8","4702","-0.8"
"有期契約職員フルタイム","","6.5","8.1","12.4","10.3","10.4","9.4","40.6","886","-0.5"
"有期契約職員パートタイム","5.0","11.2","8.9","12.6","8.1","6.5","5.2","42.5","2536","0.2"
