"上段：度数／下段：%","n=","３時間未満","３～５時間未満","５～７時間未満","７～９時間未満","９時間以上","無回答","平均値"
"ＴＯＴＡＬ","2871","2","62","118","304","10","2375","6.8"
"ＴＯＴＡＬ","100","0.1","2.2","4.1","10.6","0.3","82.7",""
"性別・年代／女性計","2641","2","58","111","274","10","2186","6.8"
"性別・年代／女性計","100","0.1","2.2","4.2","10.4","0.4","82.8",""
"性別・年代／女性２０代","634","0","9","25","115","8","477","7.4"
"性別・年代／女性２０代","100","0.0","1.4","3.9","18.1","1.3","75.2",""
"性別・年代／女性３０代","961","1","25","43","88","0","804","6.5"
"性別・年代／女性３０代","100","0.1","2.6","4.5","9.2","0.0","83.7",""
"性別・年代／女性４０代","590","0","15","29","47","2","497","6.5"
"性別・年代／女性４０代","100","0.0","2.5","4.9","8.0","0.3","84.2",""
"性別・年代／女性５０代以上","425","1","9","14","20","0","381","6.1"
"性別・年代／女性５０代以上","100","0.2","2.1","3.3","4.7","0.0","89.6",""
"性別・年代／男性計","86","0","0","0","17","0","69","8.0"
"性別・年代／男性計","100","0.0","0.0","0.0","19.8","0.0","80.2",""
"性別・年代／男性２０代","51","0","0","0","7","0","44","8.0"
"性別・年代／男性２０代","100","0.0","0.0","0.0","13.7","0.0","86.3",""
"性別・年代／男性３０代以上","35","0","0","0","10","0","25","7.9"
"性別・年代／男性３０代以上","100","0.0","0.0","0.0","28.6","0.0","71.4",""
"性別・年代／無回答","144","0","4","7","13","0","120","6.6"
"性別・年代／無回答","100","0.0","2.8","4.9","9.0","0.0","83.3",""
