"年度","15ー24歳(%)","25ー34歳(%)","35ー44歳(%)","45ー54歳(%)","55ー64歳(%)","65歳ー(%)"
"19","44.6","71.4","62.8","71.2","54.6","15.5"
"21","45.0","74.7","67.0","71.9","54.4","14.7"
"25","46.5","77.3","70.1","72.5","57.1","16.9"
