"","1-17歳","18-29歳","30-69歳","70歳以上"
"人数(人)","68","37","233","95"
"適正範囲以下：1 歳以上   20％未満(%)","2.9","16.2","14.6","17.9"
"適正範囲：1 歳以上   20％以上 30％未満(%)","52.9","43.2","42.9","53.7"
"適正範囲以上：1 歳以上   30％以上(%)","44.1","40.5","42.5","28.4"
