"","平成17年","平成18年","平成19年","平成20年","平成21年","平成22年","平成23年","平成24年","平成25年","平成26年","平成27年"
"都男性(%)","37.6","37.3","31.3","35.2","36.5","33.9","34.4","34.9","28.7","27.7","33.2"
"都女性(%)","16.7","15.1","11.7","12.8","15.7","11.3","13.7","7.8","13.0","10.1","8.3"
"全国男性(%)","39.3","39.9","39.4","36.8","38.2","32.2","32.4","34.1","32.2","32.2","30.1"
"全国女性(%)","11.3","10.0","11.0","9.1","10.9","8.4","9.7","9.0","8.2","8.5","7.9"
