"","総数","都民に対するアレルギー疾患に関する知識や情報の提供／人数","都民に対するアレルギー疾患に関する知識や情報の提供／割合","都民に対する医療機関に関する情報の提供／人数","都民に対する医療機関に関する情報の提供／割合","保健・福祉・教育関係者に対する知識や理解の向上のための取組／人数","保健・福祉・教育関係者に対する知識や理解の向上のための取組／割合","禁煙・分煙など、たばこ対策の徹底／人数","禁煙・分煙など、たばこ対策の徹底／割合","食品表示の監視の徹底／人数","食品表示の監視の徹底／割合","その他／人数","その他／割合","無回答／人数","無回答／割合"
"１呼吸器症状、ぜん息／あり","807","392","48.6","367","45.5","343","42.5","439","54.4","359","44.5","47","5.8","73","9.0"
"１呼吸器症状、ぜん息／なし","2558","1174","45.9","1090","42.6","1047","40.9","1464","57.2","1125","44.0","127","5.0","213","8.3"
"２食物アレルギー／あり","733","342","46.7","288","39.3","291","39.7","387","52.8","346","47.2","57","7.8","54","7.4"
"２食物アレルギー／なし","2643","1234","46.7","1172","44.3","1101","41.7","1527","57.8","1144","43.3","116","4.4","231","8.7"
"３アトピー性皮膚炎／あり","677","311","45.9","303","44.8","270","39.9","358","52.9","299","44.2","52","7.7","53","7.8"
"３アトピー性皮膚炎／なし","2684","1258","46.9","1151","42.9","1117","41.6","1546","57.6","1182","44.0","121","4.5","231","8.6"
"４アレルギー性鼻炎／あり","710","354","49.9","328","46.2","314","44.2","397","55.9","316","44.5","44","6.2","50","7.0"
"４アレルギー性鼻炎／なし","2646","1214","45.9","1130","42.7","1074","40.6","1507","57.0","1167","44.1","126","4.8","234","8.8"
"５アレルギー性結膜炎／あり","288","133","46.2","137","47.6","131","45.5","149","51.7","130","45.1","20","6.9","25","8.7"
"５アレルギー性結膜炎／なし","3052","1424","46.7","1309","42.9","1251","41.0","1748","57.3","1344","44.0","151","4.9","258","8.5"
"６じんましん／あり","694","330","47.6","318","45.8","310","44.7","380","54.8","343","49.4","55","7.9","62","8.9"
"６じんましん／なし","2665","1236","46.4","1140","42.8","1080","40.5","1524","57.2","1142","42.9","118","4.4","221","8.3"
"７その他のアレルギー疾患／あり","91","38","41.8","35","38.5","28","30.8","45","49.5","40","44.0","10","11.0","8","8.8"
"７その他のアレルギー疾患／なし","3196","1489","46.6","1386","43.4","1330","41.6","1827","57.2","1406","44.0","154","4.8","271","8.5"
"何らかのアレルギーの症状または診断／あり","1996","948","47.5","890","44.6","823","41.2","1107","55.5","887","44.4","122","6.1","171","8.6"
"何らかのアレルギーの症状または診断／なし","1435","652","45.4","596","41.5","589","41.0","829","57.8","621","43.3","54","3.8","123","8.6" 
