"","毎日食べる(％)","１週間に４～５日(％)","１週間に２～３日(％)","１週間に１日以下(％)","食べない(％)","無回答(％)"
"小学5年生全体","74.0","14.8","7.4","1.5","0.9","1.4"
"ふたり親（二世代）","75.7","14.9","6.3","1.2","0.7","1.2"
"ふたり親（三世代）","67.2","18.4","8.6","3.0","1.4","1.4"
"ひとり親（二世代）","69.7","13.1","11.7","2.3","1.3","2.0"
"ひとり親（三世代）","58.3","15.9","16.7","3.3","2.0","3.8"
"困窮層","55.6","23.1","15.7","3.1","0.8","1.7"
"周辺層","69.3","15.4","10.6","1.9","2.2","0.5"
"一般層","76.7","14.2","6.2","1.4","0.6","0.9"
