"資産／科目","資産／金額(円)"
"基金等保有額ａ","1866526821"
"次年度への繰越金ｂ","6391008934"
"貸付金等ｃ","0"
"その他の資産ｄ","0"
"資産合計（ａ＋ｂ＋ｃ＋ｄ）","8257535755"
