"","件数(件)","内訳"
"成年後見制度区市町村長申立て件数／区","7","大田区１件、世田谷区３件、板橋区３件"
"成年後見制度区市町村長申立て件数／市","7","町田市３件、国分寺市１件、多摩市２件、西東京市１件"
"成年後見制度区市町村長申立て件数／町村","0",""
"成年後見制度区市町村長申立て件数／計","14",""
"検討したが申立てできなかった件数／区","3","荒川区１件、葛飾区２件"
"検討したが申立てできなかった件数／市","1","西東京市１件"
"検討したが申立てできなかった件数／町村","0",""
"検討したが申立てできなかった件数／計","4",""
