"","希望(%)","現実(%)"
"これまでと変わらない働き方をする","56.0","58.0"
"収入をふやす","56.7","19.3"
"労働時間を増やす","4.2","12.9"
"労働時間を減らす","29.0","6.5"
"出勤日を変える","6.8","3.7"
"勤務時間をシフトする","7.5","3.2"
