"","女(%)","男(%)"
"就学前","9.4","11.3"
"小学生","9.5","13.1"
"中学生","36.2","34.0"
"10代後半","81.3","77.5"
"20代","50.1","54.2"
"30代","15.5","19.7"
"40代","17.9","18.8"
"50代","24.3","26.1"
"60代","10.6","11.4"
"70代以上","4.6","5.6"
