"年度","よくある(%)","ときどきある(%)","ほとんどない(%)","まったくない(%)","無回答(%)"
"24","72.1","24.8","2.5","0.1","0.4"
"19","79.7","18.5","0.8","0.5","0.5"
"14","69.2","28.4","1.7","0.3","0.4"
"9","62.4","35.2","2.1","0.3","0.1"
