"退職理由","回答(%)"
"妊娠・出産","25.7"
"給料が安い","25.5"
"職場の人間関係","20.6"
"結婚","20.4"
"仕事量が多い","20.3"
"労働時間が長い","17.5"
"健康上の理由","15.7"
"他業種への興味","14.3"
"子育て・家事","12.1"
"転居","10.8"
