"","いずれ結婚するつもり(％)","一生結婚するつもりはない(％)","不詳(％)"
"女性／平成22年(n=3406)","89.4","6.8","3.8"
"女性／平成17年(n=3064)","90.0","5.6","4.3"
"女性／平成14年(n=3494)","88.3","5.0","6.7"
"女性／平成9年(n=3612)","89.1","4.9","6.0"
"女性／平成4年(n=3647)","90.2","5.2","4.6"
"女性／昭和62年(n=2605)","92.9","4.6","2.5"
"女性／昭和57年(n=2110)","94.2","4.1","1.7"
