"頭数","飼育割合／一戸建て(%)","飼育割合／集合住宅(%)"
"1","56.1","58.1"
"2","25.2","25.8"
"3","8.9","6.5"
"4","4.1","6.5"
"5","1.6","3.2"
"6","2.4","0.0"
"7","0.0","0.0"
"8","0.8","0.0"
"9","0.0","0.0"
"10","0.0","0.0"
"11","0.0","0.0"
"12","0.8","0.0"
