"","男女計／件数","男女計／％","男性／件数","男性／％","女性／件数","女性／％"
"1定期的にあった","15","15.6","5","12.8","10","17.5"
"2時々あった","21","21.9","10","25.6","11","19.3"
"3少なかった","19","19.8","6","15.4","13","22.8"
"4まったく無かった","38","39.6","17","43.6","21","36.8"
"無回答","3","3.1","1","2.6","2","3.5"
"合計","96","100.0","39","100.0","57","100.0"
