"","総数(人)","０歳児(人)","１歳児(人)","２歳児(人)","３歳児(人)","４歳児以上(人)"
"取扱人員（４月）","159715","11805","21857","26992","31630","67431"
"入所児童数・４月","157163","10132","22134","27820","31653","65424"
"待機児童数・４月","5223","475","1841","1501","1068","338"
"入所児童数・10月","161523","11769","22968","28450","32228","66108"
"待機児童数・10月","8733","2355","2643","2283","1114","338"
