"","平成２７年度","平成２７年度（実施率）(%)","平成２６年度","平成２６年度（実施率）(%)","平成２５年度","平成２５年度（実施率）(%)","平成２４年度","平成２４年度（実施率）(%)"
"区部(２３)","17","73.9","17","73.9","18","78.3","19","82.6"
"市部(２６)","10","38.5","9","34.6","7","26.9","13","50.0"
"町村部(１３)","5","38.5","0","0.0","2","15.4","4","30.8"
"計(６２)","32","51.6","26","41.9","27","43.5","36","58.1"
