"","困窮層(％)","周辺層(％)","一般層(％)"
"行政機関の広報誌（***）","36.7","42.0","52.3"
"行政機関のホームページ（**）","11.8","17.5","20.0"
"SNS(X)","7.2","7.6","7.0"
"学校からのお便り（X）","83.4","84.2","83.0"
"学校からのメール（X）","39.1","34.8","39.8"
"家族や友人からの情報（X）","41.9","40.4","43.5"
"その他（X）","2.4","1.8","1.6"
