"","使ってみたい(％)","興味がある(％)","使いたくない(％)","使う必要はない(％)","無回答(％)"
"全体","27.9","19.1","13.6","36.8","2.6"
"困窮層","35.4","23.7","13.0","26.5","1.4"
"周辺層","34.4","20.4","12.4","31.6","1.2"
"一般層","27.1","18.2","13.5","39.2","2.1"
