"肥満とやせの状況","島しょ全体(%)","大島出張所管内(%)","大島町(%)","利島村(%)","新島村(%)","神津島村(%)"
"肥満","17.1","17.0","15.9","8.8","15.2","27.0"
"普通","70.8","71.1","70.7","73.5","73.4","66.3"
"やせ","12.1","11.9","13.4","17.6","11.4","6.7"
