"","調定額(円)","収納額(円)","還付未済額(別掲)(円)","不納欠損額(円)","未収額(円)","居所不明者分調定額(円)","収納率(%)"
"現年分","85267106558","78683121477","136297978","17579011","6566406070","9883964","92.29"
"滞繰分","23185958796","6713648608","6104810","2335822754","14136487434","8062746","28.97"
"計","108453065354","85396770085","142402788","2353401765","20702893504","17946710","78.75"
