"","小学6年生(人)","小学6年生(%)","中学3年生(人)","中学3年生(%)"
"たくさん見聞きした","55","18.2","35","11.1"
"少し見聞きした","141","46.7","137","43.5"
"見聞きしなかった","102","33.8","136","43.2"
"無記入","4","1.3","7","2.2"
"合計","302","100.0","315","100.0"
