"","よくある(%)","たまにある(%)","あまりない(%)","全くない(%)","不明・無回答(%)","ある 計(%)","ない 計(%)"
"全体(1374)","8.4","16.4","29.3","45.6","0.4","24.7","74.9"
"職場における受動喫煙防止対策の現状別／建物内は全面禁煙(555)","6.1","14.2","24.9","54.2","0.5","20.4","79.1"
"職場における受動喫煙防止対策の現状別／空間分煙になっていて、喫煙場所は壁やついたて等で区画されている(543)","5.7","16.8","32.4","45.1","0.0","22.5","77.5"
"職場における受動喫煙防止対策の現状別／喫煙場所は決められているが、壁やついたて等で区画されてはいない (158)","17.7","23.4","32.3","26.6","0.0","41.1","58.9"
"職場における受動喫煙防止対策の現状別／どこでも吸える(104)","21.2","15.4","28.8","34.6","0.0","36.5","63.5"
