"年齢","人","平均値(g)","標準偏差(g)","パーセンタイル／1(g)","パーセンタイル／5(g)","パーセンタイル／10(g)","パーセンタイル／25(g)","パーセンタイル／50(中央値)(g)","パーセンタイル／75(g)","パーセンタイル／90(g)","パーセンタイル／95(g)","パーセンタイル／99(g)"
"男性総数","205","60.6","25.6","19","24.9","31.5","44.2","56.2","74.4","95.6","108","139.3"
"1～2歳","4","40.2","16.8","21.2","22.5","24.1","28.9","41.6","52.9","55.2","55.9","56.5"
"3～5歳","5","38","14.2","23.3","24.6","26.2","31.1","32","44.8","53.4","56.3","58.6"
"6～7歳","6","47.9","25.4","27.2","28.1","29.2","32","37.8","54.6","76.7","85.6","92.7"
"8～9歳","3","46.1","6.9","40.8","41","41.3","42.2","43.7","48.8","51.9","52.9","53.7"
"10～11歳","5","61","22.5","45.4","45.8","46.3","47.7","54.6","57","83","91.6","98.5"
"12～14歳","8","77.8","26.4","44.8","47","49.8","60.7","75.7","87.9","114.5","116.5","118.1"
"15～17歳","6","80.1","19.5","59.8","61.6","63.8","68.7","75.6","85.7","100.8","107.6","113.1"
"18～29歳","20","70.1","29.4","17","26.7","32.3","58.6","65.4","82.2","96.5","99.9","142.2"
"30～49歳","42","59.2","25.7","20.1","23.7","30.6","43.9","52.7","70.3","96.1","107.5","123.4"
"50～69歳","60","60.8","22.5","24.1","36.4","39","45.3","54.9","73.7","84.9","98.1","130.7"
"70歳以上","46","58.8","27.8","12.4","23.2","25.9","41.5","57.8","67.7","94.8","106.6","136.8"
"女性総数","228","55.3","22.5","12.8","22","28.3","39.6","55.6","66.7","81","91.4","117.4"
"1～2歳","3","40","1.7","38.2","38.4","38.6","39.2","40.2","40.9","41.3","41.4","41.6"
"3～5歳","2","46.4","21.1","31.7","32.9","34.4","38.9","46.4","53.8","58.3","59.8","61"
"6～7歳","6","56","17","34.5","37.1","40.3","47.8","55.1","60.5","72.6","78.5","83.2"
"8～9歳","4","44.7","15.5","31.5","32","32.5","34.3","40.8","51.1","60.1","63","65.4"
"10～11歳","1","63.8","0","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8","63.8"
"12～14歳","8","59.1","13.6","40.1","40.3","40.5","51.8","60.2","67.8","74.8","75.8","76.6"
"15～17歳","7","66.3","19.1","45","46.4","48.2","54.9","60","74.1","86.7","94.1","10"
"18～29歳","17","55.9","33.8","14.1","16.9","23","35.3","55.3","66.7","78.5","106.5","149.3"
"30～49歳","60","59.5","20.9","18","24.7","31.2","45.9","62","70.8","85.3","94.6","104.8"
"50～69歳","71","57.5","23.4","14","20.5","24.7","40.4","57.2","71.7","85.7","88.3","126.3"
"70歳以上","49","46.4","19.9","5.4","21.7","26.8","35.2","45.8","56.2","70","73.9","103.4"
"(再掲)妊婦","1","111.1","0","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1","111.1"
"授乳婦","1","51.1","0","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1","51.1"
