"現在保育士の就業継続意向","回答(%)"
"今後も保育士として働き続けたい","78.7"
"今後は保育士を辞め、保育士以外の職種で働きたい","16.0"
"今後は保育士を辞め、働かないつもりだ","2.1"
"無回答","3.2"
