"","割合(%)"
"公設・公営","26.3"
"公設・民営","7.1"
"民設・民営（社会福祉法人）","36.1"
"民設・民営（株式会社）","14.8"
"民設・民営（ＮＰＯ法人）",""
"民設・民営（個人）","6.8"
"無回答","7.1"
