"","昭和35(千人)","昭和40(千人)","昭和45(千人)","昭和50(千人)","昭55(千人)","昭和60(千人)","平成2(千人)","平成7(千人)","平成17(千人)","(人)"
"東京都(左目盛)","","","","","","","","","","12898939"
"全国(右目盛)","","","","","","","","","","127692000"
