"","規定あり(％)","規定無し(％)","無回答(％)"
"1～99人(n=284)","78.5","19.7","1.8"
"100～299人(n=310)","94.2","5.8",""
"300～499人(n=97)","100.0","0.0",""
"500～999人(n=97)","99.0","1.0",""
"1000人以上(n=143)","100.0","0.0",""
