"","よくあった(％)","時々あった(％)","あまりなかった(％)","なかった(％)","わからない(％)","無回答(％)"
"全体","3.9","12.4","13.1","65.1","3.6","1.9"
"困窮層","6.5","19.2","9.8","56.6","4.8","3.0"
"周辺層","4.9","13.7","15.3","59.2","5.1","1.9"
"一般層","3.8","11.3","13.4","67.1","3.2","1.2"
