"","10年度(件)","11年度(件)","12年度(件)","13年度(件)","14年度(件)","15年度(件)","16年度(件)","17年度(件)","18年度(件)","19年度(件)","20年度(件)"
"区市町村","","","","","","","","4000","4951","4953","5008"
"東京都","701","1179","1806","2529","2353","2206","3026","3146","3265","3307","3229"
