"","認可保育所(％)","認証保育所(％)","その他保育(％)","幼稚園(％)","家庭等(％)"
"4歳以上","37.0","1.3","1.1","59.0","1.6"
"3歳","37.1","2.5","1.0","51.2","8.1"
"2歳","33.6","5.7","1.7","","59.0"
"1歳","28.6","6.4","2.2","","62.8"
"0歳","14.0","3.6","1.1","","81.4"
