"","平成19年","平成20年","平成21年","平成22年","平成23年","平成25年","平成26年","平成27年"
"都男性(%)","","30.1","31.5","31.4","32.8","20.4","17.3","25.0"
"都女性(%)","29.0","46.5","35.4","22.2","33.5","31.0","40.9","16.7"
"全国男性(%)","26.0","28.5","31.5","35.9","32.8","23.4","26.5","26.1"
"全国女性(%)","37.7","37.4","41.6","43.6","42.8","28.6","38.2","33.6"
