"性別","島しょ全体(g/日)","大島出張所管内(g/日)","大島町(g/日)","利島村(g/日)","新島村(g/日)","神津島村(g/日)"
"男性","99.1","97.7","100.8","89.4","104.5","82.3"
"女性","113.8","111.9","108.5","79.0","130.8","95.1"
