"","1930","","1940","","","1950","","","1960","","","1970","","","1980","","","1990","","","2000","","2010"
"恋愛結婚(％)","","13.4","","14.6","21.4","","33.1","36.2","","41.1","48.7","","61.5","66.7","","72.6","80.2","","84.8","87.2","","87.2",""
"見合い結婚(％)","","69.0","","69.1","59.8","","53.9","54.0","","49.8","44.9","","33.1","30.4","","24.9","17.7","","12.7","7.7","","6.2",""
