"","平成２７年度","平成２７年度（実施率）(%)","平成２６年度","平成２６年度（実施率）(%)","平成２５年度","平成２５年度（実施率）(%)","平成２４年度","平成２４年度（実施率）(%)"
"区部 (２３)","23","100.0","23","100.0","23","100.0","23","100.0"
"市部 (２６)","20","76.0","18","69.2","16","61.5","16","61.5"
"町村部 (１３)","4","30.8","5","38.5","4","30.8","4","30.8"
"計 (６２)","47","75.8","46","74.2","43","69.4","43","69.4"
