"（単位：ppb）","中央区","大田区","渋谷区","板橋区","足立区","八王子市","立川市","青梅市","町田市","田無市"
"【0m】／昭和62年度","111.9","126.9","152.1","","","","","57.4","","145.3"
"【0m】／昭和63年度","117.3","139.6","189.8","131.3","","93.2","110.6","63.1","87.8","134.5"
"【0m】／平成元年度","109.0","148.0","176.4","162.4","","86.2","110.2","45.3","68.0","149.5"
"【0m】／平成2年度","98.5","114.4","154.0","106.5","","68.5","94.0","33.7","62.9","119.3"
"【0m】／平成3年度","79.1","97.0","139.0","95.5","","63.8","85.3","33.4","52.3","99.5"
"【0m】／平成4年度","62.6","","134.8","96.2","145.8","42.1","","24.3","48.4",""
"【0m】／平成5年度","57.3","69.5","121.1","77.2","120.1","33.8","37.5","21.1","40.3","86.8"
"【0m】／平成6年度","65.4","61.1","115.8","87.7","106.6","40.8","49.9","27.4","42.3","58.8"
"【0m】／平成7年度","65.6","116.6","67.6","82.6","105.1","42.7","56.5","28.4","35.7","54.8"
"【0m】／平成8年度","70.4","81.5","111.2","88.1","143.9","47.2","63.4","27.0","48.5","65.0"
"【0m】／平成9年度","69.0","65.8","83.8","79.8","112.1","44.2","49.5","28.1","44.8","51.6"
"【0m】／平成10年度","60.8","78.3","73.0","80.3","123.3","49.2","49.6","28.7","44.3","58.8"
"【0m】／回帰係数","-2.61","-3.58","-9.84","-2.71","-1.64","-1.95","-4.70","-0.39","-1.68","-7.86"
"【20m】／昭和62年度","86.5","72.0","73.8","","","","","31.7","","93.6"
"【20m】／昭和63年度","101.2","87.5","78.5","89.8","","55.5","69.0","35.0","61.0","73.4"
"【20m】／平成元年度","87.2","89.0","74.8","98.1","","53.7","79.6","36.5","53.5","71.7"
"【20m】／平成2年度","65.5","67.0","53.9","62.8","","38.2","50.2","19.4","43.3","55.8"
"【20m】／平成3年度","48.7","56.9","42.6","57.1","","33.6","43.6","22.6","","45.5"
"【20m】／平成4年度","42.7","53.0","37.4","52.2","60.0","25.2","43.7","12.4","33.1","43.3"
"【20m】／平成5年度","28.2","40.4","29.2","40.3","43.6","20.6","26.3","9.8","28.1","29.9"
"【20m】／平成6年度","39.9","37.3","29.3","55.5","47.4","24.3","27.5","11.5","26.3","40.6"
"【20m】／平成7年度","39.6","42.8","40.0","54.0","45.5","26.5","32.4","16.4","24.8","42.3"
"【20m】／平成8年度","41.4","48.7","42.6","56.9","55.1","29.6","34.7","16.8","31.3","48.6"
"【20m】／平成9年度","47.9","36.1","37.5","52.9","49.6","24.9","25.0","15.5","24.8","39.0"
"【20m】／平成10年度","39.6","44.3","41.6","52.6","50.8","23.6","25.8","14.8","28.8","38.3"
"【20m】／回帰係数","-1.62","-2.66","-0.72","-0.50","-0.28","-1.16","-2.76","-0.41","-1.62","-1.11"
"【-0m】／平成4年度","36.1","","113.6","121.9","64.9","54.3","40.0","27.1","31.2",""
"【-0m】／平成5年度","28.5","76.3","103.3","95.8","51.8","50.5","30.7","25.2","25.2","71.8"
"【-0m】／平成6年度","34.6","96.7","98.5","78.8","66.8","44.2","35.2","26.9","28.3","80.3"
"【-0m】／平成7年度","36.3","92.8","95.0","79.6","73.3","49.6","37.5","29.9","24.8","79.3"
"【-0m】／平成8年度","40.1","94.2","100.1","96.1","69.8","52.9","40.6","33.6","33.4","80.5"
"【-0m】／平成9年度","41.6","89.8","93.7","76.6","61.1","47.2","41.2","27.7","37.8","72.2"
"【-0m】／平成10年度","38.9","85.8","96.5","82.3","56.6","44.4","46.8","33.3","29.6","62.1"
"【-0m】／回帰係数","1.44","0.80","-2.46","-5.00","-0.12","-0.99","1.67","1.07","0.90","-2.06"
"【-20m】／平成4年度","31.8","","46.4","63.6","35.7","42.4","27.1","15.0","23.3","21.8"
"【-20m】／平成5年度","26.2","40.0","33.8","47.3","30.3","37.7","22.6","14.0","18.7","18.6"
"【-20m】／平成6年度","28.8","57.1","39.8","43.5","37.8","34.4","22.1","13.5","19.3","22.7"
"【-20m】／平成7年度","31.2","39.5","54.8","43.9","44.3","35.5","25.5","16.8","16.9","25.8"
"【-20m】／平成8年度","34.6","51.8","43.5","56.3","40.9","42.0","26.8","19.7","23.0","25.3"
"【-20m】／平成9年度","35.3","52.8","39.8","41.3","39.3","35.8","24.8","17.8","24.2","22.0"
"【-20m】／平成10年度","33.4","48.8","40.0","46.8","38.7","33.3","23.2","16.4","21.2","21.8"
"【-20m】／回帰係数","1.04","1.23","-0.13","-1.77","1.08","-0.85","-0.10","0.64","0.29","0.35"
