"","17時以前(%)","17時～17時59分(%)","18時～18時59分(%)","19時～19時59分(%)","20時～20時59分(%)","21時～21時59分(%)","22時～22時59分(%)","その他(%)","無回答(%)"
"平成24年","29.8","20.3","24.0","10.9","3.6","","1.6","1.1","7.2"
"平成19年","33.0","18.8","21.6","9.2","3.9","","1.8","6.6","3.7"
