"","17時以前(%)","17時～17時59分(%)","18時～18時59分(%)","19時～19時59分(%)","20時～20時59分(%)","21時～21時59分(%)","22時以降(%)","その他(%)","無回答(%)"
"平成24年","2.0","3.3","9.0","16.9","19.1","16.1","18.7","9.1","5.9"
"平成19年","1.2","3.0","7.6","15.2","17.1","17.5","28.9","6.9","2.7"
