"年度","消費者力検定講座[人]","消費者カレッジ基礎コース[人]","消費者カレッジ応用コース[人]","消費者教養講座[人]"
"2013","19","11","7",
"2014","19","8","5",
"2015","13",,,"11"
"2016","20",,,"17"
"2017","19",,,"23"

"平成30年度港区行政資料集　消費者教育講座受講状況","Ver201803",,,
