"年月[西暦]","投資・経営[人]","技術[人]","人文知識・国際業務[人]","企業内転勤[人]","留学[人]","家族滞在[人]","その他[人]","計[人]"
"201503","1020","856","2240","1137","871","3386","9198","18708"
"201502","1013","856","2203","1132","885","3357","9162","18608"
"201501","1004","859","2198","1141","896","3347","9090","18535"
"201412","1003","860","2186","1139","862","3321","9049","18420"
"201411","1008","881","2231","1217","877","3427","9076","18717"
"201410","1003","880","2210","1218","878","3458","9056","18703"
"201409","1005","876","2187","1224","817","3440","9021","18570"
"201408","994","865","2171","1223","797","3392","9022","18464"
"201407","993","863","2164","1238","819","3305","8988","18370"
"201406","1001","855","2148","1270","820","3349","8995","18438"
"201405","1019","852","2150","1293","833","3494","8938","18579"
"201404","1017","860","2152","1298","852","3504","8891","18574"
"201403","1015","859","2160","1277","774","3504","8853","18442"
"201402","1006","864","2140","1273","769","3523","8831","18406"
"201401","996","858","2128","1259","766","3513","8764","18284"
"201312","983","844","2110","1250","755","3504","8658","18104"
"201311","1007","840","2162","1274","763","3575","8705","18326"
"201310","1012","858","2168","1255","774","3531","8658","18256"
"201309","1019","853","2184","1236","710","3510","8619","18131"
"201308","1022","849","2197","1271","693","3513","8613","18158"
"201307","1019","850","2196","1280","710","3481","8634","18170"
"201306","1021","859","2198","1298","730","3546","8659","18311"
"201305","1052","874","2216","1350","745","3752","8724","18713"
"201304","1050","883","2208","1359","779","3780","8678","18737"
"201303","1050","886","2193","1347","757","3783","8632","18648"
"201302","1038","889","2184","1347","773","3809","8585","18625"
"201301","1066","921","2243","1402","799","3918","8627","18976"
"201212","1057","913","2233","1377","794","3909","8570","18853"
"201211","1119","956","2338","1464","801","4239","8644","19561"
"201210","1116","963","2325","1466","798","4191","8637","19496"
"201209","1108","961","2322","1458","735","4192","8591","19367"
"201208","1106","965","2306","1457","741","4146","8518","19239"
"201207","1091","986","2282","1437","761","4101","8480","19138"

"在留資格別外国人住民数 平成27年度以前","Ver201904",,,,,,,
