全国地方公共団体コード,ID,地方公共団体名,年,月,戸籍謄抄本等,住民票の写し,印鑑証明,婚姻,離婚,出生,死亡,転入,転出,備考
131237,1,東京都江戸川区,2018,04,12269,34640,14831,310,122,410,450,4935,"2,790",
131237,2,東京都江戸川区,2018,05,12986,35183,15996,257,104,502,442,2796,"2,342",
131237,3,東京都江戸川区,2018,06,12183,38111,15777,236,113,463,466,2310,"2,369",
131237,4,東京都江戸川区,2018,07,12414,36043,15026,329,120,486,431,2855,"2,472",
131237,5,東京都江戸川区,2018,08,13072,33587,15259,307,106,488,468,2327,"2,306",
131237,6,東京都江戸川区,2018,09,10392,29745,14499,295,90,412,425,2367,"2,091",
131237,7,東京都江戸川区,2018,10,13276,33734,16157,235,114,538,475,3099,"2,449",
131237,8,東京都江戸川区,2018,11,12465,33485,14813,375,115,472,496,2327,"2,228",
131237,9,東京都江戸川区,2018,12,10790,30098,13499,329,124,430,513,2153,"2,214",
131237,10,東京都江戸川区,2019,01,13429,35207,15338,256,98,455,632,2326,"2,269",
131237,11,東京都江戸川区,2019,02,13092,34365,15310,236,96,406,514,2310,"2,519",
131237,12,東京都江戸川区,2019,03,13607,44734,18823,273,129,401,479,5532,"4,660",
131237,13,東京都江戸川区,2019,04,12492,37265,15128,247,119,441,482,5030,"2,989",
131237,14,東京都江戸川区,2019,05,13284,31524,15154,565,105,482,491,2820,"2,500",
131237,15,東京都江戸川区,2019,06,12461,34401,15420,246,89,409,402,2305,"2,232",
131237,16,東京都江戸川区,2019,07,13120,37437,16164,266,113,467,463,3107,"2,581",
131237,17,東京都江戸川区,2019,08,12935,31519,13768,281,107,430,465,2425,"2,287",
131237,18,東京都江戸川区,2019,09,12311,33162,15449,268,96,418,452,2857,"2,426",
131237,19,東京都江戸川区,2019,10,12751,31573,14163,238,96,483,523,3090,"2,428",
131237,20,東京都江戸川区,2019,11,12586,31364,13503,495,102,430,479,2204,"2,179",
131237,21,東京都江戸川区,2019,12,11947,32802,13411,295,116,456,498,2277,"2,281",
131237,22,東京都江戸川区,2020,01,12812,35147,13998,252,95,467,638,2311,"2,251",
131237,23,東京都江戸川区,2020,02,11947,33438,14810,374,92,306,446,2446,"2,580",
131237,24,東京都江戸川区,2020,03,12979,43337,18324,278,142,489,544,5890,"5,109",
131237,25,東京都江戸川区,2020,04,9823,32626,15540,158,82,426,462,3840,"2,990",
131237,26,東京都江戸川区,2020,05,8801,26991,14504,195,77,384,504,1737,"1,740",
131237,27,東京都江戸川区,2020,06,11146,37726,17552,213,96,395,418,2024,"2,112",
131237,28,東京都江戸川区,2020,07,11339,37207,16624,215,94,450,447,2155,"2,450",
131237,29,東京都江戸川区,2020,08,11313,33041,14510,253,88,416,523,2078,"2,269",
131237,30,東京都江戸川区,2020,09,11313,33478,15867,200,107,418,469,2036,"2,406",
131237,31,東京都江戸川区,2020,10,11889,33176,14920,218,95,437,514,2203,"2,366",
131237,32,東京都江戸川区,2020,11,11326,32510,14318,380,97,432,488,2437,"2,136",
131237,33,東京都江戸川区,2020,12,10431,32331,14274,271,100,381,499,2691,"2,384",
131237,34,東京都江戸川区,2021,01,11726,33747,13825,272,89,362,648,2336,"2,294",
131237,35,東京都江戸川区,2021,02,10959,33701,15083,269,100,306,509,2244,"2,679",
131237,36,東京都江戸川区,2021,03,14874,51446,18668,309,144,396,585,5465,"5,117",
131237,37,東京都江戸川区,2021,04,11837,38294,14728,208,96,380,437,3446,"2,992",
131237,38,東京都江戸川区,2021,05,10640,30226,12778,285,91,413,513,2088,"2,124",
131237,39,東京都江戸川区,2021,06,12108,37300,15137,199,81,390,449,2167,"2,452",
131237,40,東京都江戸川区,2021,07,10399,33719,13607,252,74,406,451,2046,"2,233",
131237,41,東京都江戸川区,2021,08,10688,31524,12926,245,101,422,538,2026,"2,190",
131237,42,東京都江戸川区,2021,09,11127,31226,13683,193,84,440,516,1937,"2,390",
131237,43,東京都江戸川区,2021,10,11861,29904,12750,213,85,407,522,2012,"2,230",
131237,44,東京都江戸川区,2021,11,12072,29795,13371,353,77,452,533,1988,"2,257",
131237,45,東京都江戸川区,2021,12,11242,29428,12412,230,94,428,523,1901,"2,202",
131237,46,東京都江戸川区,2022,01,11410,32583,13229,323,97,398,685,1805,"2,190",
131237,47,東京都江戸川区,2022,02,11005,33662,13068,275,78,364,604,2015,"2,318",
131237,48,東京都江戸川区,2022,03,13922,45864,16504,324,122,387,638,5639,"4,818",
131237,49,東京都江戸川区,2022,04,12454,35110,12842,191,107,336,528,4075,"2,682",
131237,50,東京都江戸川区,2022,05,12231,30589,13059,280,85,363,539,3173,"2,398",
131237,51,東京都江戸川区,2022,06,12696,36242,13980,233,82,337,452,2762,"2,503",
131237,52,東京都江戸川区,2022,07,10467,33847,12534,283,76,353,469,2680,"2,348",
131237,53,東京都江戸川区,2022,08,13382,32966,13045,279,84,380,668,2440,"2,438",
131237,54,東京都江戸川区,2022,03,11404,31351,13512,202,86,428,570,2416,"2,385",
131237,55,東京都江戸川区,2022,10,11191,29728,12879,204,85,444,580,2595,"2,299",
131237,56,東京都江戸川区,2022,11,12727,31094,12828,352,80,384,609,2219,"2,195",
131237,57,東京都江戸川区,2022,12,15154,31063,12327,229,84,394,630,2066,"2,132",
131237,58,東京都江戸川区,2023,01,12445,31712,12866,215,87,351,730,2213,"2,183",
131237,59,東京都江戸川区,2023,02,13109,32686,13567,249,86,300,608,2282,"2,436",
131237,60,東京都江戸川区,2023,03,14026,42502,15681,341,126,369,570,6093,"4,730",
