区分,,世帯数,人口[人],男[人],女[人]
日本人,,137746,252492,126581,125911
外国人,合計,5592,10964,4645,6319
外国人,アフガニスタン,0,2,2,0
外国人,アルジェリア,0,1,0,1
外国人,アルゼンチン,1,1,1,0
外国人,オーストラリア,17,29,23,6
外国人,オーストリア,0,3,2,1
外国人,ベルギー,4,5,4,1
外国人,ボリビア,1,2,2,0
外国人,ブラジル,28,46,21,25
外国人,ブルガリア,1,2,1,1
外国人,ミャンマー,50,69,39,30
外国人,バングラデシュ,59,99,83,16
外国人,ブルネイ,1,1,0,1
外国人,ベラルーシ,1,2,0,2
外国人,カンボジア,4,5,1,4
外国人,カメルーン,9,17,15,2
外国人,カナダ,25,47,32,15
外国人,スリランカ,8,20,16,4
外国人,中国,2847,5359,2285,3074
外国人,コロンビア,2,8,2,6
外国人,コンゴ民主共和国,3,8,5,3
外国人,キューバ,0,1,0,1
外国人,クロアチア,1,1,1,0
外国人,ベナン,1,1,1,0
外国人,デンマーク,0,1,1,0
外国人,エチオピア,0,1,0,1
外国人,エストニア,1,1,1,0
外国人,フィンランド,0,1,0,1
外国人,フランス,29,50,39,11
外国人,フィジー共和国,0,1,1,0
外国人,ジョージア,3,4,2,2
外国人,ドイツ,25,32,23,9
外国人,ガーナ,4,9,9,0
外国人,ギリシャ,0,1,1,0
外国人,ギニア,2,3,3,0
外国人,ハンガリー,1,3,3,0
外国人,インド,49,80,59,21
外国人,インドネシア,29,41,17,24
外国人,イラン,8,24,16,8
外国人,アイルランド,2,4,4,0
外国人,イタリア,7,15,13,2
外国人,コートジボワール,1,2,1,1
外国人,韓国及び朝鮮,1066,2047,878,1169
外国人,ケニア,1,5,2,3
外国人,カザフスタン,2,3,3,0
外国人,ラオス,1,1,1,0
外国人,リベリア,0,1,0,1
外国人,ラトビア,1,1,1,0
外国人,リトアニア,0,1,0,1
外国人,マレーシア,17,39,18,21
外国人,メキシコ,3,5,2,3
外国人,モンゴル,55,84,43,41
外国人,モロッコ,2,2,1,1
外国人,モルドバ,1,2,0,2
外国人,マケドニア旧ユーゴスラビア共和国,0,1,1,0
外国人,ネパール,169,278,172,106
外国人,オランダ,4,6,5,1
外国人,ニュージーランド,7,11,10,1
外国人,ナイジェリア,4,10,10,0
外国人,パキスタン,7,13,13,0
外国人,ペルー,5,13,8,5
外国人,フィリピン,320,1268,204,1064
外国人,ポーランド,4,10,4,6
外国人,ポルトガル,1,2,2,0
外国人,ルーマニア,21,36,5,31
外国人,ロシア,28,81,14,67
外国人,サウジアラビア,1,1,1,0
外国人,スペイン,2,7,7,0
外国人,スウェーデン,3,5,4,1
外国人,スイス,2,4,1,3
外国人,スロバキア,1,1,0,1
外国人,セルビア,1,1,0,1
外国人,シンガポール,10,16,8,8
外国人,タイ,150,366,101,265
外国人,チュニジア,1,2,2,0
外国人,トルコ,2,8,7,1
外国人,トンガ,1,2,2,0
外国人,ウガンダ,10,16,8,8
外国人,南アフリカ共和国,2,2,2,0
外国人,エジプト,0,1,1,0
外国人,英国（ＵＫ）,40,69,51,18
外国人,米国（ＵＳＡ）,77,126,83,43
外国人,ウクライナ,5,16,3,13
外国人,ウズベキスタン,19,28,18,10
外国人,ベトナム,321,356,211,145
外国人,無国籍,1,15,9,6
