,平成23年,平成24年,平成25年,平成26年,平成27年,対前年増減　25年から26年,対前年増減　26年から27年
墨田区,1.1,1.18,1.17,1.23,1.31,0.06,0.08
母の年齢15歳から19歳,0.0202,0.0252,0.0112,0.0174,0.0147,0.0062,-0.0027
母の年齢20歳から24歳,0.0808,0.1021,0.0979,0.0877,0.0722,-0.0102,-0.0155
母の年齢25歳から29歳,0.2697,0.2964,0.2636,0.2989,0.3178,0.0353,0.0189
母の年齢30歳から34歳,0.4136,0.4213,0.4316,0.4596,0.4879,0.028,0.0283
母の年齢35歳から39歳,0.2603,0.2682,0.3137,0.2975,0.331,-0.0162,0.0335
母の年齢40歳から44歳,0.0506,0.0643,0.0531,0.0639,0.0779,0.0108,0.014
母の年齢45歳から49歳,0.002,0,0.0024,0.0035,0.0039,0.0011,0.0004
東京都,1.06,1.09,1.13,1.15,1.17,0.02,0.02
全国,1.39,1.41,1.43,1.42,1.46,-0.01,0.04
