区分,人口密度　平成7年,人口密度　平成12年,人口密度　平成17年,人口密度　平成22年,人口密度　平成27年,性比　平成7年,性比　平成12年,性比　平成17年,性比　平成22年,性比　平成27年,1世帯当たり人員　平成7年,1世帯当たり人員　平成12年,1世帯当たり人員　平成17年,1世帯当たり人員　平成22年,1世帯当たり人員　平成27年,世帯数(千世帯)　平成7年,世帯数(千世帯)　平成12年,世帯数(千世帯)　平成17年,世帯数(千世帯)　平成22年,世帯数(千世帯)　平成27年
全国,336.8,340,343,343.4,340.8,96.2,95.8,96.8,94.8,94.7,2.85,2.7,2.58,2.421682411,2.38,44108,47063,49566,51951,53403
東京都,5384,5517,5751,6015.7,6168.1,100.2,99.9,99.3,97.96,97.25498679,2.36,2.22,2.13,2.033613969,2.01,4998,5424,5891,6394,6692
特別区,12833,13093,13663,14386.1,14795.9,98.8,98.9,98.4,97.3,97,2.27,2.13,2.05,1.953351645,1.93,3514,3811,4146,4541,4793
墨田区,15685,15708,16813,18007.7,18621.4,98.2,98.1,99.5,99.3,99.6,2.46,2.29,2.15,2.038297484,1.96,88,94,108,121,130
