,,,墨田区　平成7年世帯数[人],墨田区　平成7年構成比[％],墨田区　平成12年世帯数[人],墨田区　平成12年構成比[％],墨田区　平成17年世帯数[人],墨田区　平成17年構成比[％],墨田区　平成22年世帯数[人],墨田区　平成22年構成比[％],特別区平成7年構成比[％],特別区平成12年構成比[％],特別区平成17年構成比[％],特別区平成22年構成比[％],特別区平成27年構成比[％],全国平成7年構成比[％],全国平成12年構成比[％],全国平成17年構成比[％],全国平成22年構成比[％],全国平成27年構成比[％]
総数,,,87435,100,93583,100,107245,100,120504,100,100,100,100,100,100,100,100,100,100,100
親族世帯,計,,57411,65.7,58665,62.7,61790,57.5,63269,52.5,58.9,55.7,53.6,49.1,50.4,74.1,72,70,66.6,66.4
親族世帯,核家族世帯,小計,48823,55.9,51133,54.6,54558,50.8,56539,46.9,51.6,49.5,48.1,44.9,46.8,58.7,58.4,57.9,56.3,57.2
親族世帯,核家族世帯,夫婦のみ,14303,16.4,16638,17.8,18902,17.6,20324,16.9,15.8,16.5,16.8,16.1,17,17.4,18.9,19.6,19.8,20
親族世帯,核家族世帯,夫婦と子供,27079,31,25940,27.7,25996,24.2,25997,21.6,28.6,25.6,23.7,21.5,22.2,34.2,31.9,29.9,27.9,28
親族世帯,核家族世帯,片親と子供,7441,8.5,8555,9.1,9660,9,10218,8.5,7.2,7.4,7.6,7.3,7.6,7.1,7.6,8.4,8.7,9.2
親族世帯,その他の親族世帯,,8588,9.8,7532,8.1,7232,6.7,6730,5.6,7.3,6.2,5.5,4.1,3.6,15.4,13.6,12.1,10.2,9.2
非親族世帯,,,444,0.5,804,0.9,1179,1.2,3135,2.6,0.6,0.7,1,1.4,1.3,0.3,0.4,0.5,0.9,0.9
単独世帯,,,29580,33.8,34114,36.4,44276,41.3,54096,44.9,40.5,43.6,45.4,49.1,48.2,25.6,27.6,29.5,32.4,32.5
