年,墨田区世帯数,墨田区人口[人],東京都世帯数,東京都人口[人],全国世帯数,全国人口[人]
大正14年,75534,327604,973530,4485144,11879179,59736822
昭和 5年,84159,390776,1125925,5408678,12582023,63872496
昭和10年,92913,464892,1282703,6369919,13378077,68661654
昭和15年,100157,479809,1539950,7354971,14218931,72539729
昭和20年,,77595,,3488284,,71998104
昭和22年,40015,173601,1213124,5000777,15870811,78101473
昭和25年,51143,236242,1438627,6277500,16580129,83199637
昭和30年,60625,305590,1797466,8037084,17959923,89275529
昭和35年,70302,331843,2496680,9683802,20656234,93418501
昭和40年,77046,317856,3104749,10869244,24081803,98274961
昭和45年,76843,281237,3589109,11408071,27869674,103720060
昭和50年,77813,250714,3989787,11673554,32140768,111939643
昭和55年,80012,232796,4285658,11618281,35823609,117060396
昭和60年,81756,229986,4511423,11829363,38133297,121048923
平成 2年,85205,222944,4785406,11855563,41035777,123611167
平成 7年,87749,215681,4998492,11773605,44107856,125570246
平成12年,94168,215979,5423551,12064101,47062743,126925843
平成17年,107701,231173,5890792,12576601,49536305,127767994
平成22年,120797,247606,6393768,13159388,51950504,128057352
平成27年,130338,256416,6692089,13513734,53403226,127110047
