年齢,総数[人],男[人],女[人]
墨田区,251050,125935,125115
0歳から4歳の合計,9968,5130,4838
0歳,2321,1211,1110
1歳,2075,1068,1007
2歳,1980,989,991
3歳,1853,963,890
4歳,1739,899,840
5歳から9歳までの合計,8618,4425,4193
5歳,1791,933,858
6歳,1723,902,821
7歳,1683,856,827
8歳,1734,886,848
9歳,1687,848,839
10歳から14歳までの合計,8260,4221,4039
10歳,1588,831,757
11歳,1607,824,783
12歳,1675,828,847
13歳,1672,885,787
14歳,1718,853,865
15歳から19歳までの合計,8581,4495,4086
15歳,1650,827,823
16歳,1733,907,826
17歳,1711,912,799
18歳,1706,890,816
19歳,1781,959,822
20歳から24歳までの合計,11173,5611,5562
20歳,1745,879,866
21歳,1938,983,955
22歳,2039,1026,1013
23歳,2579,1277,1302
24歳,2872,1446,1426
25歳から29歳までの合計,18300,9253,9047
25歳,3134,1532,1602
26歳,3416,1727,1689
27歳,3737,1896,1841
28歳,3994,2026,1968
29歳,4019,2072,1947
30歳から34歳までの合計,21122,11088,10034
30歳,4230,2219,2011
31歳,4364,2280,2084
32歳,4268,2236,2032
33歳,4164,2205,1959
34歳,4096,2148,1948
35歳から39歳までの合計,20651,10836,9815
35歳,3998,2101,1897
36歳,4144,2175,1969
37歳,4165,2179,1986
38歳,4217,2244,1973
39歳,4127,2137,1990
40歳から44歳までの合計,22151,11664,10487
40歳,4228,2304,1924
41歳,4456,2313,2143
42歳,4662,2468,2194
43歳,4414,2292,2122
44歳,4391,2287,2104
45歳から49歳までの合計,19180,10067,9113
45歳,4163,2165,1998
46歳,4050,2118,1932
47歳,4039,2153,1886
48歳,4057,2110,1947
49歳,2871,1521,1350
50歳から54歳までの合計,16036,8459,7577
50歳,3689,1988,1701
51歳,3444,1800,1644
52歳,3132,1650,1482
53歳,2849,1509,1340
54歳,2922,1512,1410
55歳から59歳までの合計,13410,7029,6381
55歳,2878,1484,1394
56歳,2703,1480,1223
57歳,2674,1386,1288
58歳,2517,1309,1208
59歳,2638,1370,1268
60歳から64歳までの合計,14317,7448,6869
60歳,2640,1370,1270
61歳,2736,1415,1321
62歳,2877,1472,1405
63歳,3024,1608,1416
64歳,3040,1583,1457
65歳から69歳までの合計,17081,8798,8283
65歳,3272,1709,1563
66歳,3825,1971,1854
67歳,3714,1963,1751
68歳,3754,1920,1834
69歳,2516,1235,1281
70歳から74歳までの合計,13818,6419,7399
70歳,2195,1021,1174
71歳,2815,1360,1455
72歳,2962,1355,1607
73歳,2882,1332,1550
74歳,2964,1351,1613
75歳から79歳までの合計,11773,5182,6591
75歳,2724,1216,1508
76歳,2307,996,1311
77歳,2155,932,1223
78歳,2353,1072,1281
79歳,2234,966,1268
80歳から84歳までの合計,8864,3540,5324
80歳,2241,967,1274
81歳,1885,765,1120
82歳,1681,666,1015
83歳,1589,608,981
84歳,1468,534,934
85歳から89歳までの合計,4937,1617,3320
85歳,1222,448,774
86歳,1137,376,761
87歳,982,303,679
88歳,821,259,562
89歳,775,231,544
90歳から94歳までの合計,2155,532,1623
90歳,653,181,472
91歳,499,134,365
92歳,402,94,308
93歳,326,72,254
94歳,275,51,224
95歳から99歳までの合計,582,108,474
95歳,201,46,155
96歳,146,33,113
97歳,103,13,90
98歳,82,11,71
99歳,50,5,45
100以上歳,73,13,60
100歳,30,6,24
101歳,19,3,16
102歳,11,2,9
103以上歳,13,2,11
不詳者,0,0,0
