,,平成7年10月1日現在,平成12年10月1日現在,平成17年10月1日現在,平成22年10月1日現在,平成27年10月1日現在
常住人口,住民登録人口(外国人登録を含む),220963,223376,234105,250125,260943
常住人口,国勢調査人口,215681,215979,231173,247606,256416
常住人口,住民登録人口－国勢調査人口 偏差人口,5282,7397,2932,2519,4527
昼間人口,,270261,257972,262514,279272,
昼常間(国勢調査)偏差人口,,54580,41993,31341,31666,
流入人口,計,123528,110058,106174,101779,
流入人口,通勤者小計,108896,100529,97721,94871,
流入人口,通勤者都内,52209,48512,48402,45882,
流入人口,通勤者他県,56687,52017,49319,48989,
流入人口,通学者小計,14632,9529,8453,6908,
流入人口,通学者都内,8120,6109,5713,4975,
流入人口,通学者他県,6512,3420,2740,1933,
流出人口,計,68688,67951,74752,70112,
流出人口,通勤者小計,56925,58231,65932,62825,
流出人口,通勤者都内,51048,52428,59711,56712,
流出人口,通勤者他県,5877,5803,6221,6113,
流出人口,通学者小計,11763,9720,8820,7287,
流出人口,通学者都内,9831,8175,7454,6049,
流出人口,通学者他県,1932,1545,1366,1238,
