区分,平成24年人口[人],平成24年構成比[％],平成25年人口[人],平成25年構成比[％],平成26年人口[人],平成26年構成比[％],平成27年人口[人],平成27年構成比[％],平成28年人口[人],平成28年構成比[％]
0歳から4歳,9222,3.8,9316,3.8,9377,3.8,9607,3.9,9968,4
5歳から9歳,8266,3.4,8363,3.4,8368,3.4,8517,3.4,8618,3.4
10歳から14歳,8376,3.5,8377,3.5,8361,3.4,8292,3.3,8260,3.3
15歳から19歳,8104,3.4,8213,3.4,8363,3.4,8461,3.4,8581,3.4
20歳から24歳,11152,4.6,10929,4.5,10897,4.4,10939,4.4,11173,4.5
25歳から29歳,18215,7.6,18319,7.5,18563,7.6,18474,7.4,18300,7.3
30歳から34歳,19706,8.2,19734,8.1,20014,8.2,20686,8.3,21122,8.4
35歳から39歳,21520,8.9,21504,8.9,21058,8.6,20914,8.4,20651,8.2
40歳から44歳,20500,8.5,20865,8.6,21531,8.8,22136,8.9,22151,8.8
45歳から49歳,15832,6.6,17038,7,17942,7.3,18669,7.5,19180,7.6
50歳から54歳,13825,5.8,14086,5.8,14524,5.9,15184,6.1,16036,6.4
55歳から59歳,14361,6,13656,5.6,13341,5.4,13309,5.4,13410,5.4
60歳から64歳,18466,7.7,17497,7.2,16395,6.7,15122,6.1,14317,5.7
65歳から69歳,14305,5.9,14976,6.2,15491,6.3,16259,6.6,17081,6.8
70歳以上,38841,16.1,39932,16.5,41093,16.8,41989,16.9,42202,16.8
計,240691,100,242805,100,245318,100,248558,100..0,251050,100..0
