区分,,,平成23年,平成24年,平成25年,平成26年,平成27年
特別区,社会動態,転入,,,,,
特別区,社会動態,転出,,,,,
特別区,社会動態,増減,34381,49421,60772,63218,70698
特別区,自然動態,出生,73263,74794,77009,78378,81079
特別区,自然動態,死亡,72728,75134,76334,75617,76442
特別区,自然動態,増減,535,-340,675,2761,4637
特別区,社会変動と自然変動の差引増減,,34916,49081,61447,65979,75335
墨田区,社会動態,転入,15627,17295,17927,18693,18917
墨田区,社会動態,転出,14919,14854,15232,15273,16523
墨田区,社会動態,増減,708,2441,2695,3420,2394
墨田区,自然動態,出生,1971,2094,2135,2228,2484
墨田区,自然動態,死亡,2368,2421,2317,2408,2386
墨田区,自然動態,増減,-397,-327,-182,-180,98
墨田区,社会変動と自然変動の差引増減,,311,2114,2513,3240,2492
