年,墨田区（総数）,墨田区（男）,墨田区（女）,東京都（総数）,東京都（男）,東京都（女）
平成17年,231173,115304,115869,12576611,6264899,6311712
平成22年,247606,123385,124221,13159388,6512110,6647278
平成27年,253199,126197,127002,13311646,6562269,6749377
平成32年,256500,127743,128757,13346611,6553330,6793281
平成37年,257571,128203,129368,13260489,6485368,6775121
平成42年,256558,127569,128989,13068489,6366135,6702354
平成47年,254359,126243,128116,12784631,6200605,6584026
