,,,墨田区平成7年世帯数,墨田区平成7年世帯構成比[％],墨田区平成7年人員,墨田区平成12年世帯数,墨田区平成12年世帯構成比[％],墨田区平成12年人員,墨田区平成17年世帯数,墨田区平成17年世帯構成比[％],墨田区平成17年人員,墨田区平成22年世帯数,墨田区平成22年世帯構成比[％],墨田区平成22年人員,特別区平成7年世帯数,特別区平成12年世帯数,特別区平成17年世帯数,特別区平成22年世帯数,特別区平成27年世帯数
一般世帯,住宅に住む一般世帯,持ち家,40641,46.48138617,120728,45350,48.45965613,123682,51373,47.9,133184,56965,47.2,139892,1359500,1535209,1802545,1974012,1929600
一般世帯,住宅に住む一般世帯,公営借家,8930,10.21330131,23935,10634,11.36317494,25993,10649,9.9,24404,11151,9.3,24408,278681,308846,317194,320316,286500
一般世帯,住宅に住む一般世帯,民営借家,29751,34.02641963,55734,29461,31.48114508,50435,38925,36.3,61103,44142,36.6,67589,1455562,1552984,1594717,1928585,2245700
一般世帯,住宅に住む一般世帯,給与住宅,3691,4.221421627,8274,3491,3.730378381,7354,4362,4.1,7625,4336,3.6,7740,198331,178075,151677,163227,115000
一般世帯,住宅に住む一般世帯,間借り,1155,1.3209813,2460,2061,2.202323071,4130,1168,1.1,2163,1775,1.5,3446,49746,77877,70492,81190,55000
一般世帯,住宅に住む一般世帯,計,84168,96.26351004,211131,90997,97.2366776,211594,106477,99.3,228479,118369,98.2,243075,3341820,3652991,3936625,4467330,4631800
一般世帯,住宅以外に住む一般世帯,,3267,3.736489964,3584,2586,2.763322398,3068,768,0.7,948,2135,1.8,2548,132938,110471,88259,64525,63100
一般世帯,計,,87435,100,214715,93583,100,214662,107245,100,229427,120504,100,245623,3474758,3763462,4024884,4531864,4694900
施設等の世帯,,,88,0.1,706,519,0.554587906,1203,388,0.4,1665,293,0.2,1983,10775,10406,8154,8882,8200
一般世帯（再掲）,65歳以上の老人がいる世帯,,24676,28.2,65894,28638,30.60171185,68665,33716,31.4,74811,37565,31.2,80608,805459,975955,1123968,1261281,1419200
