"館名","一般図書[冊]","ヤング[冊]","児童図書[冊]","紙芝居[組]","デイジー[組]","一般雑誌[冊]","児童雑誌[冊]","CD[組]","LD[組]","DVD[組]","ｶｾｯﾄ[組]","ｽﾗｲﾄﾞ[組]","16mm[巻]","ビデオ[組]","その他視聴覚"
"みなと","196579","10285","35182","1381","670","18877","2735","19836","1132","6328","4030","84","642","2663","70"
"三田","140434","8291","23887","680","0","8689","292","7779","0","1498","0","0","0","0","0"
"麻布","89200","6267","18404","564","0","3470","197","3248","0","1154","0","0","0","0","0"
"赤坂","127024","8219","27730","820","0","5139","383","5466","0","1341","0","0","0","0","0"
"高輪","112176","4991","37122","960","0","4.839","465","8674","2","2031","0","0","0","0","0"
"高輪(分室)","726","22566","27646","596","0","824","762","1601","0","945","0","0","0","0","0"
"港南","126709","5336","27807","579","0","4269","220","7796","665","1798","0","0","0","0","0"

"平成30年度港区行政資料集　図書館別資料所蔵状況","Ver201804",,,,,,,,,,,,,,
