地域階層,地域コード,地域,平成14年中／増減,平成14年中／転入,平成14年中／転出,平成15年中／増減,平成15年中／転入,平成15年中／転出,平成16年中／増減,平成16年中／転入,平成16年中／転出,平成17年中／増減,平成17年中／転入,平成17年中／転出,平成18年中／増減,平成18年中／転入,平成18年中／転出
0,13000,総数,-24,391457,391481,-310,405310,405620,480,401239,400759,-293,402333,402626,1177,396386,395209
1,13100,区部,952,263736,262784,-995,270768,271763,-1333,270470,271803,1714,278353,276639,4638,274347,269709
1,13200,市部,-1061,124874,125935,874,131857,130983,2026,128110,126084,-1846,120998,122844,-3735,119121,122856
2,13300,郡部,263,2048,1785,-11,1785,1796,-73,1752,1825,88,1820,1732,351,1985,1634
2,13350,島部,-178,799,977,-178,900,1078,-140,907,1047,-249,1162,1411,-77,933,1010
1,13100,区部,952,263736,262784,-995,270768,271763,-1333,270470,271803,1714,278353,276639,4638,274347,269709
4,13101,千代田区,-361,2103,2464,1086,3554,2468,525,3088,2563,162,3110,2948,236,3119,2883
4,13102,中央区,1332,5687,4355,1063,5838,4775,1489,6562,5073,1790,7355,5565,645,6125,5480
4,13103,港区,-395,8546,8941,405,9900,9495,1486,10416,8930,2200,11516,9316,3895,13189,9294
4,13104,新宿区,-167,13488,13655,-382,13891,14273,51,14293,14242,-722,13960,14682,-1552,13222,14774
4,13105,文京区,-24,7496,7520,-518,7286,7804,567,8105,7538,494,8328,7834,-31,8057,8088
4,13106,台東区,896,5864,4968,677,5837,5160,461,5607,5146,530,5898,5368,501,5863,5362
4,13107,墨田区,395,6646,6251,689,6931,6242,1017,7432,6415,231,6981,6750,1246,8001,6755
4,13108,江東区,3077,13246,10169,3771,14255,10484,2971,13530,10559,5920,16689,10769,2339,13447,11108
4,13109,品川区,855,11971,11116,843,12176,11333,1300,12667,11367,-15,12320,12335,40,12098,12058
4,13110,目黒区,-145,11194,11339,-662,11009,11671,-1168,10978,12146,-978,11228,12206,-45,11721,11766
