地域階層,地域コード,地域,平成19年1月1日現在人口,平成18年中の動き／人口増減,平成18年中の動き／社会動態／社会増減,平成18年中の動き／社会動態／転入,平成18年中の動き／社会動態／転出,平成18年中の動き／都内間の移動増減,平成18年中の動き／自然動態／自然増減,平成18年中の動き／自然動態／出生,平成18年中の動き／自然動態／死亡,平成18年中の動き／その他の増減／外国人登録人口,平成18年中の動き／その他の増減／記載・消除等,面積(km2),人口密度(1km2当たり）,平成18年1月1日現在人口 
0,13000,総数,12692117,98957,78545,435453,356908,1177,8143,102194,94051,6722,4370,2187.42,5802,12593160
1,13100,区部,8578380,76686,60163,318703,258540,4638,2662,68196,65534,5655,3568,621.81,13796,8501694
1,13200,市部,4026013,22593,18539,115454,96915,-3735,5997,33393,27396,1070,722,783.93,5136,4003420
2,13300,郡部,59196,-125,-111,571,682,351,-403,386,789,-5,43,375.96,157,59321
2,13350,島部,28528,-197,-46,725,771,-77,-113,219,332,2,37,405.72,70,28725
1,13100,区部,8578380,76686,60163,318703,258540,4638,2662,68196,65534,5655,3568,621.81,13796,8501694
4,13101,千代田区,43252,1120,797,2527,1730,236,-85,308,393,99,73,11.64,3716,42132
4,13102,中央区,103817,3729,2374,6032,3658,645,281,1042,761,376,53,10.15,10228,100088
4,13103,港区,197779,9624,4247,10502,6255,3895,517,1813,1296,795,170,20.34,9724,188155
4,13104,新宿区,307779,1879,2937,13735,10798,-1552,-343,1963,2306,572,265,18.23,16883,305900
4,13105,文京区,193317,2829,2752,8801,6049,-31,-66,1394,1460,5,169,11.31,17093,190488
4,13106,台東区,167108,1570,1613,5716,4103,501,-700,1204,1904,164,-8,10.08,16578,165538
4,13107,墨田区,235648,4205,2790,7982,5192,1246,-334,1858,2192,446,57,13.75,17138,231443
4,13108,江東区,431502,8306,3960,14283,10323,2339,656,3959,3303,1179,172,39.8,10842,423196
4,13109,品川区,350671,3575,2696,13907,11211,40,113,2812,2699,271,455,22.72,15434,347096
4,13110,目黒区,267276,3199,2888,11541,8653,-45,150,1890,1740,-170,376,14.7,18182,264077
4,13111,大田区,671195,4793,3666,26652,22986,276,382,5539,5157,294,175,59.46,11288,666402
4,13112,世田谷区,851547,9919,6570,35316,28746,1859,950,6501,5551,-18,558,58.08,14662,841628
4,13113,渋谷区,204782,906,2437,9125,6688,-1219,-39,1465,1504,-279,6,15.11,13553,203876
4,13114,中野区,311079,738,2577,13201,10624,-1716,-262,2041,2303,135,4,15.59,19954,310341
4,13115,杉並区,531573,2533,3582,21113,17531,-1804,-186,3704,3890,9,932,34.02,15625,529040
4,13116,豊島区,254139,3481,3638,11661,8023,1855,-533,1570,2103,-137,-1342,13.01,19534,250658
