地域階層,地域コード,地域,平成18年1月中,2月中,3月中,4月中,5月中,6月中,7月中,8月中,9月中,10月中,11月中,12月中
0,13000,総数,573,-2699,28004,33089,7751,3577,4046,6391,4029,9894,3214,1088
1,13100,区部,1425,497,23754,21297,5225,2838,3748,4934,2615,7620,2095,638
1,13200,市部,-780,-3188,4670,11565,2588,789,289,1453,1356,2281,1146,424
2,13300,郡部,-55,28,-22,-10,-53,-28,-5,-31,10,-9,-21,71
2,13350,島部,-17,-36,-398,237,-9,-22,14,35,48,2,-6,-45
1,13100,区部,1425,497,23754,21297,5225,2838,3748,4934,2615,7620,2095,638
4,13101,千代田区,33,114,122,241,106,98,103,7,168,117,2,9
4,13102,中央区,376,144,432,692,345,232,342,272,271,375,62,186
4,13103,港区,844,932,2582,1038,663,125,464,1051,313,613,572,427
4,13104,新宿区,224,-436,672,1607,-461,-260,20,-19,280,402,-366,216
4,13105,文京区,91,-64,575,676,198,207,119,295,151,220,146,215
4,13106,台東区,-198,104,492,459,155,55,123,-55,29,307,58,41
4,13107,墨田区,-141,200,926,500,327,854,393,173,199,367,232,175
4,13108,江東区,-103,198,3332,1163,433,94,395,556,460,775,468,535
4,13109,品川区,-15,124,1211,630,297,200,68,400,-97,325,146,286
4,13110,目黒区,331,-32,828,1285,230,137,151,137,80,287,17,-252
4,13111,大田区,-123,-42,2322,1206,424,-30,83,324,177,517,87,-152
4,13112,世田谷区,793,20,2880,2286,213,590,898,759,509,552,266,153
4,13113,渋谷区,40,21,-36,1271,160,-311,-76,114,-390,1,60,52
4,13114,中野区,-35,-160,676,676,106,121,-7,-68,-50,72,-170,-423
4,13115,杉並区,-76,-95,1208,1133,200,-8,-137,44,-47,355,-4,-40
4,13116,豊島区,-152,331,1701,943,156,75,124,303,-123,203,146,-226
4,13117,北区,-245,-335,55,136,31,-26,-4,-47,-282,6,-173,-232
4,13118,荒川区,-13,-25,433,412,11,135,15,69,-39,151,6,-127
4,13119,板橋区,-197,-125,777,1841,114,-53,16,95,30,513,-101,-160
4,13120,練馬区,189,-15,1315,1130,580,301,275,303,251,352,252,60
4,13121,足立区,-291,-234,259,487,-41,-130,-120,-81,183,349,213,97
4,13122,葛飾区,79,40,820,133,396,234,116,-58,106,144,-96,-256
4,13123,江戸川区,14,-168,172,1352,582,198,387,360,436,617,272,54
1,13200,市部,-780,-3188,4670,11565,2588,789,289,1453,1356,2281,1146,424
4,13201,八王子市,-182,-468,-305,2539,314,237,210,67,88,383,150,83
4,13202,立川市,-9,0,295,654,262,238,-17,3,67,91,46,-46
4,13203,武蔵野市,8,-223,507,221,84,53,-140,-41,-63,7,38,-102
